Bussiness_name	advice	city	zipcode	stars
Heritage Tavern	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4.5
Erin's Snug Irish Pub	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53718	3.5
Mildred's Sandwich Shop	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
Milio's Sandwiches	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.	Madison	53716	3.5
VFW Day Post 7591	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53716	4
Joe's Kitchen	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Monona	53716	5
Palmyra Mediterranean Grill	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53703	3.5
George's Chicken and Fish	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Sun Prairie	53590	4
Papa Murphy's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Fitchburg	53711	4
Popeyes Louisiana Kitchen	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Fitchburg	53713	3.5
El Bolillo Bakery	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53716	4
DP Dough	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53703	4
Copper Top Restaurant	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	3.5
Salad Creations Madison	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53717	2
Karakahl Country Inn	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Mount Horeb	53572	2
Happy Wok	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Monona	53713	3
Bellini Italian Restaurant	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	3.5
Domino's Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Sun Prairie	53590	3
China Wok	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53704	3
Tempest Oyster Bar	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	4
Quaker Steak & Lube	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	3.5
Viet House	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53704	3.5
Maple Tree Supper Club	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	McFarland	53558	3.5
Famous Dave's Bar-B-Que	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53715	3
Punta Cana	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53713	4
PA'PA'S BBQ	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Monona	53716	5
Hong Kong Cafe West	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53717	4.5
Kangchen Indian Cuisine	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53717	4
Blair Street BBQ & Catering	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	3
Jacobson Bros Meats & Deli	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53704	3
Taco Bell	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53705	1
MACS	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Sun Prairie	53590	4
Swad	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Monona	53716	4.5
TnT's Coffee & Cafe	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53717	3.5
Papa Murphy's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53719	4
Panera Bread	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53717	3
Picasso's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Mc Farland	53558	3.5
Lolas Cafe	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.	Madison	53717	3.5
Chutneys Indian Cuisine	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.	Madison	53704	3.5
Wings Over Madison	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53705	3.5
Sushi & Hibachi Japanese	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	3.5
East Side Club	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Monona	53714	3
Ha Long Bay	It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	4
Arby's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53716	2.5
U-Like Asian Buffet	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53719	2.5
Bucatini	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Middleton	53562	3.5
BSR - Branch Street Retreat	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Middleton	53562	2.5
All Stop Deforest	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.	De Forest	53532	1.5
Cousins Subs	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53562	3
Metcalfe's Market	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53717	4
Maharana Indian Restaurant	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53704	4
Copps Food Center	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	3
Salted Root Coffee House	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53726	4.5
Rossi's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Monona	53716	4
Pizza Hut	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Middleton	53562	3.5
Campus Biryani & Gyros	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53711	1.5
Gyro Express	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.	Madison	53719	4
Red's Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.	Middleton	53562	4
Culver's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Stoughton	53589	4
Bierock	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53704	4
Wendy's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53704	2
Tex Tubb's Taco Palace	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53705	3
Club Tavern & Grille	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Middleton	53562	3
TCBY	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53719	4.5
The Village Green Bar & Grill	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Middleton	53562	4
Papa John's Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53704	3
Aldo's Cafe	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53715	3.5
Cracker Barrel Old Country Store	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53704	3
Zen Sushi	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53706	5
Buck's Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53711	3.5
Hop's House Eatery & Pub	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Mount Horeb	53572	3.5
The Rigby Pub And Grill	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	3.5
McDonald's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Fitchburg	53713	1.5
Cousins Subs	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53715	4
Pizza Pit Extreme	It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53719	3
Luigi's	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	3.5
Holstein Restaurant and Bar	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Brooklyn	53521	4
Tony Frank's Tavern	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53711	3.5
Ski's Saloon	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Sun Prairie	53590	4.5
